Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
Language Policy,LANG POLICY-NETH,1568-4555,1.133,Not Available,Education & Educational Research,2011
JOURNAL OF HIGHER EDUCATION,J HIGH EDUC,0022-1546,1.148,1.793,Education & Educational Research,2011
BMC Medical Education,BMC MED EDUC,1472-6920,1.152,Not Available,Education & Educational Research,2011
JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,J GEOGR HIGHER EDUC,0309-8265,1.156,1.416,Education & Educational Research,2011
INTERACTIVE LEARNING ENVIRONMENTS,INTERACT LEARN ENVIR,1049-4820,1.163,1.165,Education & Educational Research,2011
ELEMENTARY SCHOOL JOURNAL,ELEM SCHOOL J,0013-5984,1.172,1.514,Education & Educational Research,2011
JOURNAL OF EDUCATION POLICY,J EDUC POLICY,0268-0939,1.189,1.232,Education & Educational Research,2011
LANGUAGE LEARNING,LANG LEARN,0023-8333,1.218,1.831,Education & Educational Research,2011
SECOND LANGUAGE RESEARCH,SECOND LANG RES,0267-6583,1.219,1.927,Education & Educational Research,2011
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,INT J SCI EDUC,0950-0693,1.232,1.721,Education & Educational Research,2011
MINERVA,MINERVA,0026-4695,1.244,1.000,Education & Educational Research,2011
JOURNAL OF RESEARCH IN READING,J RES READ,0141-0423,1.250,1.504,Education & Educational Research,2011
TEACHING AND TEACHER EDUCATION,TEACH TEACH EDUC,0742-051X,1.322,1.675,Education & Educational Research,2011
REVIEW OF HIGHER EDUCATION,REV HIGH EDUC,0162-5748,1.324,2.073,Education & Educational Research,2011
JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,0022-4391,1.337,1.910,Education & Educational Research,2011
RESEARCH IN SCIENCE EDUCATION,RES SCI EDUC,0157-244X,1.342,1.691,Education & Educational Research,2011
Mind Brain and Education,MIND BRAIN EDUC,1751-2271,1.348,Not Available,Education & Educational Research,2011
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,EDUC EVAL POLICY AN,0162-3737,1.378,1.811,Education & Educational Research,2011
RESEARCH IN HIGHER EDUCATION,RES HIGH EDUC,0361-0365,1.387,1.826,Education & Educational Research,2011
Studies in Science Education,STUD SCI EDUC,0305-7267,1.400,Not Available,Education & Educational Research,2011
READING AND WRITING,READ WRIT,0922-4777,1.444,1.945,Education & Educational Research,2011
JOURNAL OF AMERICAN COLLEGE HEALTH,J AM COLL HEALTH,0744-8481,1.450,2.286,Education & Educational Research,2011
JOURNAL OF COMPUTER ASSISTED LEARNING,J COMPUT ASSIST LEAR,0266-4909,1.464,1.760,Education & Educational Research,2011
BRITISH EDUCATIONAL RESEARCH JOURNAL,BRIT EDUC RES J,0141-1926,1.495,1.559,Education & Educational Research,2011
Australasian Journal of Educational Technology,AUSTRALAS J EDUC TEC,1449-3098,1.517,Not Available,Education & Educational Research,2011
Review of Research in Education,REV RES EDUC,0091-732X,1.545,2.583,Education & Educational Research,2011
JOURNAL OF ENGINEERING EDUCATION,J ENG EDUC,1069-4730,1.569,2.020,Education & Educational Research,2011
AIDS EDUCATION AND PREVENTION,AIDS EDUC PREV,0899-9546,1.589,2.209,Education & Educational Research,2011
HEALTH EDUCATION RESEARCH,HEALTH EDUC RES,0268-1153,1.656,2.570,Education & Educational Research,2011
